[2025-01-30 15:49:53,205: INFO: main: This is a test log message]
[2025-01-30 17:32:56,310: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-01-30 17:32:56,313: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-30 17:32:56,317: INFO: common: created directory at: artifacts]
[2025-01-30 17:32:56,323: INFO: common: created directory at: artifacts/data_ingestion]
[2025-01-30 17:32:57,028: INFO: 227420655: File is downloaded]
[2025-01-30 17:34:31,952: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-01-30 17:34:31,958: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-30 17:34:31,960: INFO: common: created directory at: artifacts]
[2025-01-30 17:34:31,963: INFO: common: created directory at: artifacts/data_ingestion]
[2025-01-30 17:34:34,349: INFO: 227420655: File is downloaded]
[2025-01-30 18:06:57,110: INFO: main: Stage Data Ingestion Pipeline initiated]
[2025-01-30 18:06:57,111: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-01-30 18:06:57,112: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-30 18:06:57,112: INFO: common: created directory at: artifacts]
[2025-01-30 18:06:57,113: INFO: common: created directory at: artifacts/data_ingestion]
[2025-01-30 18:06:59,116: INFO: data_ingestion: File is downloaded]
[2025-01-30 18:06:59,401: INFO: main: Stage Data Ingestion Pipeline completed]
